Query_id,query
internvid_english_sports_pov_base_0,1929 Henry Segrave setting speed records
internvid_english_sports_pov_base_1,Everton Blues visit to Tanzanian school
internvid_english_sports_pov_base_2,2022 UCI Mountain Bike World Cup
internvid_english_sports_pov_base_3,John Jackson snowboarding in Alaska
internvid_english_sports_pov_description_0,Car named the Golden Arrow setting land speed record
internvid_english_sports_pov_description_1,Disabled children challenge professional soccer players
internvid_english_sports_pov_description_2,Alessandra Keller wins cross-country mountain biking race
internvid_english_sports_pov_description_3,Snowboarding on intense terrain in Alaska
internvid_english_sports_pov_ocr_0,Record-setting motorboat with 1000 horse power
internvid_english_sports_pov_ocr_1,Professional soccer players attempting to play goal ball
internvid_english_sports_pov_ocr_2,Mountain biking world cup in West Virginia
internvid_english_sports_edited_base_0,Kansas City Chiefs protesting against racial injustics
internvid_english_sports_edited_base_1,2021 South Zone National Junior Athletics Championships
internvid_english_sports_edited_base_2,2022 Forge vs HFX Wanders soccer match
internvid_english_sports_edited_base_3,FORUM8 Rally Japan 2022
internvid_english_sports_edited_base_4,2022 Antony Manchester United signing
internvid_english_sports_edited_base_5,2017 Vermont pond hockey tournament
internvid_english_sports_edited_description_0,Football fans booing at players supporting racial equiality
internvid_english_sports_edited_description_1,U14 boys shot put championship
internvid_english_sports_edited_description_2,Highlights of Canadian Premier League game
internvid_english_sports_edited_description_3,Deciding race for 2022 FIA World Rally championship
internvid_english_sports_edited_description_4,Pawnee Rangers vs. Bender Yankee Feeders pond hockey
internvid_english_sports_edited_speech_0,NFL players reaction to George Floyd death
internvid_english_sports_edited_speech_1,Athletes participating in junior shot put event
internvid_english_sports_edited_speech_2,Jérémy Gagnon-Laperé serving multi-game suspension
internvid_english_sports_edited_speech_3,Elfyn Evans and Scott Martin error during race
internvid_english_sports_edited_speech_4,Brazilian soccer player predicted position with new club
internvid_english_sports_edited_ocr_0,Playing Lift Every Voice and Sing during NFL pre-game
internvid_english_sports_edited_ocr_1,Anurag G winning shot put throw
internvid_english_sports_edited_ocr_2,Tim Hortons advertisement during Canadian soccer match
internvid_english_sports_edited_ocr_3,Julian Porter car race analysis
internvid_english_sports_professional_base_0,2018 Golden State Warriors vs Phoenix Suns basketball game
internvid_english_sports_professional_base_1,2022 Johns Hopkins vs. Navy women's lacrosse match
